timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744540931,2025-04-13 13:42:11,11,10,1,0.91
1744541532,2025-04-13 13:52:12,11,10,1,0.91
1744542131,2025-04-13 14:02:11,11,10,1,0.91
1744542733,2025-04-13 14:12:13,11,11,0,1.00
1744543331,2025-04-13 14:22:11,11,11,0,1.00
1744544552,2025-04-13 14:42:32,11,11,0,1.00
1744545185,2025-04-13 14:53:05,11,11,0,1.00
1744545783,2025-04-13 15:03:03,11,10,1,0.91
1744546383,2025-04-13 15:13:03,11,10,1,0.91
1744546994,2025-04-13 15:23:14,11,10,1,0.91
1744547598,2025-04-13 15:33:18,11,11,0,1.00
1744548221,2025-04-13 15:43:41,11,11,0,1.00
1744548822,2025-04-13 15:53:42,11,11,0,1.00
1744549424,2025-04-13 16:03:44,11,11,0,1.00
1744550028,2025-04-13 16:13:48,11,11,0,1.00
1744550627,2025-04-13 16:23:47,11,11,0,1.00
1744551234,2025-04-13 16:33:54,11,11,0,1.00
1744551834,2025-04-13 16:43:54,11,11,0,1.00
1744552441,2025-04-13 16:54:01,11,11,0,1.00
1744553040,2025-04-13 17:04:00,11,11,0,1.00
1744553640,2025-04-13 17:14:00,11,11,0,1.00
1744554240,2025-04-13 17:24:00,11,11,0,1.00
1744554841,2025-04-13 17:34:01,11,11,0,1.00
1744556643,2025-04-13 18:04:03,11,11,0,1.00
1744557241,2025-04-13 18:14:01,11,11,0,1.00
1744557843,2025-04-13 18:24:03,11,11,0,1.00
1744558440,2025-04-13 18:34:00,11,11,0,1.00
1744559054,2025-04-13 18:44:14,11,11,0,1.00
1744559652,2025-04-13 18:54:12,11,11,0,1.00
1744560281,2025-04-13 19:04:41,11,10,1,0.91
1744560285,2025-04-13 19:04:45,11,10,1,0.91
1744561482,2025-04-13 19:24:42,11,11,0,1.00
1744562701,2025-04-13 19:45:01,11,11,0,1.00
1744563303,2025-04-13 19:55:03,11,11,0,1.00
1744563904,2025-04-13 20:05:04,11,11,0,1.00
1744564503,2025-04-13 20:15:03,11,11,0,1.00
1744565104,2025-04-13 20:25:04,11,11,0,1.00
1744573100,2025-04-13 22:38:20,11,11,0,1.00
1744573700,2025-04-13 22:48:20,11,11,0,1.00
1744574901,2025-04-13 23:08:21,11,11,0,1.00
1744574902,2025-04-13 23:08:22,11,11,0,1.00
1744575502,2025-04-13 23:18:22,11,11,0,1.00
1744576101,2025-04-13 23:28:21,11,10,1,0.91
1744577303,2025-04-13 23:48:23,11,11,0,1.00
1744577902,2025-04-13 23:58:22,11,9,2,0.82
1744578503,2025-04-14 00:08:23,11,11,0,1.00
1744579103,2025-04-14 00:18:23,11,11,0,1.00
1744579704,2025-04-14 00:28:24,11,11,0,1.00
1744580305,2025-04-14 00:38:25,11,11,0,1.00
1744581506,2025-04-14 00:58:26,11,11,0,1.00
1744582704,2025-04-14 01:18:24,11,11,0,1.00
1744583304,2025-04-14 01:28:24,11,11,0,1.00
1744583906,2025-04-14 01:38:26,11,11,0,1.00
1744584506,2025-04-14 01:48:26,11,11,0,1.00
1744585106,2025-04-14 01:58:26,11,11,0,1.00
1744585708,2025-04-14 02:08:28,11,11,0,1.00
1744586309,2025-04-14 02:18:29,11,10,1,0.91
1744586909,2025-04-14 02:28:29,11,10,1,0.91
1744587508,2025-04-14 02:38:28,11,10,1,0.91
1744588110,2025-04-14 02:48:30,11,11,0,1.00
1744588710,2025-04-14 02:58:30,11,10,1,0.91
1744589312,2025-04-14 03:08:32,11,10,1,0.91
1744589909,2025-04-14 03:18:29,11,10,1,0.91
1744590509,2025-04-14 03:28:29,11,11,0,1.00
1744591109,2025-04-14 03:38:29,11,11,0,1.00
1744591712,2025-04-14 03:48:32,11,11,0,1.00
1744592311,2025-04-14 03:58:31,11,11,0,1.00
1744592910,2025-04-14 04:08:30,11,11,0,1.00
1744592912,2025-04-14 04:08:32,11,11,0,1.00
1744593956,2025-04-14 04:25:56,11,11,0,1.00
1744594584,2025-04-14 04:36:24,11,11,0,1.00
1744595188,2025-04-14 04:46:28,11,11,0,1.00
1744595820,2025-04-14 04:57:00,11,11,0,1.00
1744596450,2025-04-14 05:07:30,11,11,0,1.00
1744597134,2025-04-14 05:18:54,11,11,0,1.00
1744597836,2025-04-14 05:30:36,11,11,0,1.00
1744598581,2025-04-14 05:43:01,11,11,0,1.00
1744599222,2025-04-14 05:53:42,11,11,0,1.00
1744600481,2025-04-14 06:14:41,11,11,0,1.00
1744601095,2025-04-14 06:24:55,11,11,0,1.00
1744601711,2025-04-14 06:35:11,11,11,0,1.00
1744602311,2025-04-14 06:45:11,11,10,1,0.91
1744602923,2025-04-14 06:55:23,11,11,0,1.00
1744603537,2025-04-14 07:05:37,11,10,1,0.91
1744604136,2025-04-14 07:15:36,11,10,1,0.91
1744605333,2025-04-14 07:35:33,11,11,0,1.00
1744605939,2025-04-14 07:45:39,11,10,1,0.91
1744606533,2025-04-14 07:55:33,11,10,1,0.91
1744607155,2025-04-14 08:05:55,11,10,1,0.91
1744607755,2025-04-14 08:15:55,11,9,2,0.82
1744608363,2025-04-14 08:26:03,11,8,3,0.73
1744608965,2025-04-14 08:36:05,11,8,3,0.73
1744610179,2025-04-14 08:56:19,11,8,3,0.73
1744610781,2025-04-14 09:06:21,11,8,3,0.73
1744611394,2025-04-14 09:16:34,11,8,3,0.73
1744611995,2025-04-14 09:26:35,11,10,1,0.91
1744612594,2025-04-14 09:36:34,11,11,0,1.00
1744613205,2025-04-14 09:46:45,11,10,1,0.91
1744613866,2025-04-14 09:57:46,11,9,2,0.82
1744614470,2025-04-14 10:07:50,11,10,1,0.91
1744615672,2025-04-14 10:27:52,11,9,2,0.82
1744616273,2025-04-14 10:37:53,11,9,2,0.82
1744616875,2025-04-14 10:47:55,11,9,2,0.82
1744617477,2025-04-14 10:57:57,11,9,2,0.82
1744618078,2025-04-14 11:07:58,11,9,2,0.82
1744618695,2025-04-14 11:18:15,11,10,1,0.91
1744619302,2025-04-14 11:28:22,11,10,1,0.91
1744619902,2025-04-14 11:38:22,11,10,1,0.91
1744620501,2025-04-14 11:48:21,11,10,1,0.91
1744621117,2025-04-14 11:58:37,11,10,1,0.91
1744621716,2025-04-14 12:08:36,11,10,1,0.91
1744622317,2025-04-14 12:18:37,11,9,2,0.82
1744622916,2025-04-14 12:28:36,11,9,2,0.82
1744623517,2025-04-14 12:38:37,11,9,2,0.82
1744624116,2025-04-14 12:48:36,11,8,3,0.73
1744624717,2025-04-14 12:58:37,11,10,1,0.91
1744625315,2025-04-14 13:08:35,11,10,1,0.91
1744625917,2025-04-14 13:18:37,11,10,1,0.91
1744626515,2025-04-14 13:28:35,11,10,1,0.91
1744627117,2025-04-14 13:38:37,11,10,1,0.91
1744627715,2025-04-14 13:48:35,11,10,1,0.91
1744628317,2025-04-14 13:58:37,11,10,1,0.91
1744628916,2025-04-14 14:08:36,11,10,1,0.91
1744629518,2025-04-14 14:18:38,11,10,1,0.91
1744630116,2025-04-14 14:28:36,11,10,1,0.91
1744630718,2025-04-14 14:38:38,11,8,3,0.73
1744631334,2025-04-14 14:48:54,11,8,3,0.73
1744631932,2025-04-14 14:58:52,11,9,2,0.82
1744632534,2025-04-14 15:08:54,11,9,2,0.82
1744633132,2025-04-14 15:18:52,11,9,2,0.82
1744634341,2025-04-14 15:39:01,11,9,2,0.82
1744634941,2025-04-14 15:49:01,11,10,1,0.91
1744635541,2025-04-14 15:59:01,11,10,1,0.91
1744636147,2025-04-14 16:09:07,11,10,1,0.91
1744636744,2025-04-14 16:19:04,11,9,2,0.82
1744637346,2025-04-14 16:29:06,11,10,1,0.91
1744637962,2025-04-14 16:39:22,11,10,1,0.91
1744638563,2025-04-14 16:49:23,11,10,1,0.91
1744639165,2025-04-14 16:59:25,11,10,1,0.91
1744639764,2025-04-14 17:09:24,11,10,1,0.91
1744640365,2025-04-14 17:19:25,11,10,1,0.91
1744640963,2025-04-14 17:29:23,12,10,2,0.83
1744641571,2025-04-14 17:39:31,12,11,1,0.92
1744642172,2025-04-14 17:49:32,12,11,1,0.92
1744642771,2025-04-14 17:59:31,12,11,1,0.92
1744643372,2025-04-14 18:09:32,12,11,1,0.92
1744643971,2025-04-14 18:19:31,12,11,1,0.92
1744644573,2025-04-14 18:29:33,12,11,1,0.92
1744645180,2025-04-14 18:39:40,12,11,1,0.92
1744645779,2025-04-14 18:49:39,12,11,1,0.92
1744646380,2025-04-14 18:59:40,12,11,1,0.92
1744646982,2025-04-14 19:09:42,12,11,1,0.92
1744647579,2025-04-14 19:19:39,12,11,1,0.92
1744648134,2025-04-14 19:28:54,12,11,1,0.92
1744648177,2025-04-14 19:29:37,12,10,2,0.83
1744649378,2025-04-14 19:49:38,12,11,1,0.92
1744649978,2025-04-14 19:59:38,12,11,1,0.92
1744651781,2025-04-14 20:29:41,12,11,1,0.92
1744652383,2025-04-14 20:39:43,12,10,2,0.83
1744652983,2025-04-14 20:49:43,12,11,1,0.92
1744653585,2025-04-14 20:59:45,12,11,1,0.92
1744656599,2025-04-14 21:49:59,12,11,1,0.92
